title,author,year,genre,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
Viva La Vida,Coldplay,2008,"['permanent wave', 'pop']",0.617,0.109,138.015,0.0287,0.0954,3.23e-06,4,0.486,5,242373,-7.115,0.417,0
Lose Yourself,Eminem,2005,"['detroit hip hop', 'hip hop', 'rap']",0.744,0.359,171.374,0.257,0.00868,0.000423,4,0.692,2,326467,-4.565,0.0612,1
Do I Wanna Know?,Arctic Monkeys,2013,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",0.532,0.217,85.03,0.0323,0.186,0.000263,4,0.548,5,272394,-7.596,0.405,1
Without Me,Eminem,2002,"['detroit hip hop', 'hip hop', 'rap']",0.669,0.237,112.238,0.0738,0.00286,0.0,4,0.908,7,290320,-2.827,0.662,1
One Kiss (with Dua Lipa),Calvin Harris,2018,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",0.862,0.0814,123.994,0.11,0.037,2.19e-05,4,0.791,9,214847,-3.24,0.592,0
drivers license,Olivia Rodrigo,2021,['pop'],0.431,0.106,143.875,0.0578,0.768,1.42e-05,4,0.561,10,242013,-8.81,0.137,1
SAD!,XXXTENTACION,2018,"['emo rap', 'miami hip hop', 'rap']",0.613,0.123,75.023,0.145,0.258,0.00372,4,0.74,8,166606,-4.88,0.473,1
Treat You Better,Shawn Mendes,2016,"['canadian pop', 'pop', 'viral pop']",0.797,0.11,165.717,0.36,0.132,0.0,4,0.455,10,187973,-4.133,0.757,0
When I Was Your Man,Bruno Mars,2012,"['dance pop', 'pop']",0.28,0.088,72.795,0.0434,0.932,0.0,4,0.612,0,213827,-8.648,0.387,1
good 4 u,Olivia Rodrigo,2021,['pop'],0.664,0.0849,166.928,0.154,0.335,0.0,4,0.563,9,178147,-5.044,0.688,1
Jocelyn Flores,XXXTENTACION,2017,"['emo rap', 'miami hip hop', 'rap']",0.391,0.297,134.021,0.242,0.469,4.13e-06,4,0.872,0,119133,-9.144,0.437,0
Just the Way You Are,Bruno Mars,2010,"['dance pop', 'pop']",0.841,0.0622,109.021,0.0422,0.0134,0.0,4,0.635,5,220734,-5.379,0.424,1
Let Me Love You,DJ Snake,2016,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']",0.715,0.135,199.892,0.058,0.0863,2.67e-05,4,0.475,8,205947,-5.371,0.159,1
Happier,Marshmello,2018,"['brostep', 'edm', 'pop', 'progressive electro house']",0.792,0.167,100.011,0.0452,0.191,0.0,4,0.687,5,214290,-2.749,0.671,1
Unforgettable,French Montana,2017,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.769,0.104,97.985,0.123,0.0293,0.0101,4,0.726,6,233902,-5.043,0.733,1
SICKO MODE,Travis Scott,2018,"['rap', 'slap house']",0.73,0.124,155.008,0.222,0.00513,0.0,4,0.834,8,312820,-3.714,0.446,1
XO Tour Llif3,Lil Uzi Vert,2017,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",0.75,0.109,155.096,0.231,0.00264,0.0,4,0.732,11,182707,-6.366,0.401,0
Flowers,Miley Cyrus,2023,['pop'],0.691,0.0232,118.048,0.0633,0.0584,6.99e-05,4,0.706,0,200600,-4.775,0.632,1
That's What I Like,Bruno Mars,2016,"['dance pop', 'pop']",0.56,0.0944,134.066,0.0406,0.013,0.0,4,0.853,1,206693,-4.961,0.86,1
Every Breath You Take,The Police,1983,"['album rock', 'classic rock', 'permanent wave', 'rock']",0.452,0.0714,117.401,0.0348,0.543,0.00294,4,0.82,1,253920,-9.796,0.74,1
In the End,Linkin Park,2000,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",0.864,0.209,105.143,0.0584,0.00958,0.0,4,0.556,3,216880,-5.87,0.4,0
Sorry,Justin Bieber,2015,"['canadian pop', 'pop']",0.76,0.299,99.947,0.045,0.0797,0.0,4,0.655,0,200787,-3.669,0.409,0
Lean On (feat. MØ & DJ Snake),Major Lazer,2015,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",0.809,0.565,98.007,0.0625,0.00346,0.00123,4,0.723,7,176561,-3.081,0.274,0
New Rules,Dua Lipa,2017,"['dance pop', 'pop', 'uk pop']",0.7,0.153,116.073,0.0694,0.00261,1.56e-05,4,0.762,9,209320,-6.021,0.608,0
Locked out of Heaven,Bruno Mars,2012,"['dance pop', 'pop']",0.698,0.309,143.994,0.0431,0.049,0.0,4,0.726,5,233478,-4.165,0.867,1
Levitating (feat. DaBaby),Dua Lipa,2020,"['dance pop', 'pop', 'uk pop']",0.825,0.0674,102.977,0.0601,0.00883,0.0,4,0.702,6,203064,-3.787,0.915,0
There's Nothing Holdin' Me Back,Shawn Mendes,2017,"['canadian pop', 'pop', 'viral pop']",0.811,0.078,121.995,0.0553,0.375,0.0,4,0.866,11,199440,-4.063,0.969,0
Too Good At Goodbyes,Sam Smith,2017,"['pop', 'uk pop']",0.372,0.169,91.931,0.0443,0.638,0.0,4,0.715,5,201000,-8.237,0.474,1
Stay With Me,Sam Smith,2014,"['pop', 'uk pop']",0.42,0.11,84.126,0.0416,0.588,6.39e-05,4,0.413,0,172724,-6.444,0.185,1
Cold Heart - PNAU Remix,Elton John,2021,"['glam rock', 'mellow gold', 'piano rock', 'rock']",0.8,0.0915,116.032,0.0309,0.0354,7.25e-05,4,0.795,1,202735,-6.32,0.934,1
Havana (feat. Young Thug),Camila Cabello,2018,"['dance pop', 'pop']",0.523,0.132,104.988,0.03,0.184,3.56e-05,4,0.765,2,217307,-4.333,0.394,1
Smells Like Teen Spirit,Nirvana,1991,"['grunge', 'permanent wave', 'rock']",0.912,0.106,116.761,0.0564,2.55e-05,0.000173,4,0.502,1,301920,-4.556,0.72,1
Without Me,Halsey,2020,"['electropop', 'etherpop', 'indie poptimism', 'pop']",0.488,0.0936,136.07,0.0705,0.293,9.2e-06,4,0.752,6,201661,-7.05,0.533,1
Save Your Tears,The Weeknd,2020,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.825,0.543,118.049,0.0309,0.0212,1.21e-05,4,0.679,0,215627,-5.487,0.644,1
Wonderwall (Remastered),Oasis,1995,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",0.865,0.234,174.53,0.0381,0.000453,0.0,4,0.372,2,258733,-4.918,0.478,1
Don't Stop Me Now - Remastered 2011,Queen,1978,"['classic rock', 'glam rock', 'rock']",0.865,0.77,156.271,0.16,0.0472,0.000191,4,0.563,5,209413,-5.277,0.601,1
Memories,Maroon 5,2021,['pop'],0.327,0.0821,91.05,0.0557,0.841,0.0,4,0.775,11,189486,-7.241,0.595,1
Don't Stop Believin',Journey,1981,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",0.748,0.447,118.852,0.0363,0.127,0.0,4,0.5,4,250987,-9.072,0.514,1
Uptown Funk (feat. Bruno Mars),Mark Ronson,2015,['pop soul'],0.609,0.0344,114.988,0.0824,0.00801,8.15e-05,4,0.856,0,269667,-7.223,0.928,1
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021,['lgbtq+ hip hop'],0.691,0.0476,150.087,0.0672,0.0221,0.0,4,0.741,10,212353,-7.395,0.892,0
Kill Bill,SZA,2022,"['pop', 'r&b', 'rap']",0.735,0.161,88.98,0.0391,0.0521,0.144,4,0.644,8,153947,-5.747,0.418,1
Take on Me,a-ha,1985,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",0.902,0.0928,84.412,0.054,0.018,0.00125,4,0.573,6,225280,-7.638,0.876,0
DÁKITI,Bad Bunny,2020,"['reggaeton', 'trap latino', 'urbano latino']",0.573,0.113,109.928,0.0544,0.401,5.22e-05,4,0.731,4,205090,-10.059,0.145,0
Congratulations,Post Malone,2016,"['dfw rap', 'melodic rap', 'pop', 'rap']",0.804,0.253,123.146,0.0364,0.215,0.0,4,0.63,6,220293,-4.183,0.492,1
Till I Collapse,Eminem,2002,"['detroit hip hop', 'hip hop', 'rap']",0.847,0.0816,171.447,0.186,0.0622,0.0,4,0.548,1,297787,-3.237,0.1,1
Someone Like You,Adele,2011,"['british soul', 'pop', 'pop soul', 'uk pop']",0.33,0.0975,135.109,0.0285,0.892,0.0,4,0.559,9,285040,-8.251,0.285,1
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2016,"['dance pop', 'pop', 'pop dance', 'pop rap']",0.714,0.0843,101.969,0.111,0.0353,8.42e-06,4,0.664,7,197933,-6.645,0.71,0
The Scientist,Coldplay,2002,"['permanent wave', 'pop']",0.442,0.11,146.277,0.0243,0.731,1.46e-05,4,0.557,5,309600,-7.224,0.213,1
Faded,Alan Walker,2015,['electro house'],0.651,0.111,90.011,0.0306,0.0291,3.2e-06,4,0.589,6,212627,-5.097,0.166,1
Before You Go,Lewis Capaldi,2019,"['pop', 'uk pop']",0.574,0.0885,111.881,0.0577,0.608,0.0,4,0.459,3,215107,-4.857,0.183,1
Sweet Child O' Mine,Guns N' Roses,1987,"['glam metal', 'hard rock', 'rock']",0.952,0.112,125.304,0.0522,0.09,0.0843,4,0.445,6,356067,-5.321,0.624,1
Another One Bites The Dust - Remastered 2011,Queen,1980,"['classic rock', 'glam rock', 'rock']",0.528,0.163,109.975,0.161,0.115,0.329,4,0.932,5,214653,-6.472,0.757,0
Better Now,Post Malone,2018,"['dfw rap', 'melodic rap', 'pop', 'rap']",0.578,0.135,145.07,0.0408,0.331,0.0,4,0.674,10,231267,-5.804,0.34,1
Don't Let Me Down,The Chainsmokers,2016,['pop'],0.868,0.148,159.763,0.205,0.187,0.0032,4,0.534,11,208667,-5.057,0.406,1
"thank u, next",Ariana Grande,2019,['pop'],0.654,0.101,106.976,0.0647,0.227,0.0,4,0.72,1,207320,-5.634,0.411,1
MONTERO (Call Me By Your Name),Lil Nas X,2021,['lgbtq+ hip hop'],0.503,0.405,178.781,0.22,0.293,0.0,4,0.593,8,137704,-6.725,0.71,0
Roses - Imanbek Remix,SAINt JHN,2019,"['melodic rap', 'slap house']",0.721,0.285,121.962,0.0506,0.0149,0.00432,4,0.785,8,176219,-5.457,0.894,1
Dynamite,BTS,2020,"['k-pop', 'k-pop boy group', 'pop']",0.765,0.0936,114.044,0.0993,0.0112,0.0,4,0.746,6,199054,-4.41,0.737,0
All I Want for Christmas Is You,Mariah Carey,1994,"['dance pop', 'pop', 'urban contemporary']",0.627,0.0708,150.273,0.0384,0.164,0.0,4,0.336,7,241107,-7.463,0.35,1
Stitches,Shawn Mendes,2015,"['canadian pop', 'pop', 'viral pop']",0.754,0.0486,149.789,0.0615,0.0151,0.0,4,0.752,1,206880,-6.684,0.755,1
Payphone,Maroon 5,2021,['pop'],0.756,0.37,110.028,0.0393,0.0136,0.0,4,0.739,4,231387,-4.828,0.522,1
The Box,Roddy Ricch,2019,"['melodic rap', 'rap', 'trap']",0.586,0.79,116.971,0.0559,0.104,0.0,4,0.896,10,196653,-6.687,0.642,0
Moonlight,XXXTENTACION,2018,"['emo rap', 'miami hip hop', 'rap']",0.537,0.102,128.009,0.0804,0.556,0.00404,4,0.921,9,135090,-5.723,0.711,0
Mood (feat. iann dior),24kGoldn,2021,"['cali rap', 'pop rap']",0.716,0.324,91.007,0.0361,0.174,0.0,4,0.701,7,140533,-3.671,0.732,0
7 Years,Lukas Graham,2016,"['danish pop', 'scandipop']",0.473,0.391,119.992,0.0514,0.287,0.0,4,0.765,10,237300,-5.829,0.34,1
I Don't Care (with Justin Bieber),Ed Sheeran,2019,"['pop', 'singer-songwriter pop', 'uk pop']",0.676,0.0894,101.956,0.0442,0.0902,0.0,4,0.798,6,219947,-5.041,0.843,1
Pumped Up Kicks,Foster The People,2011,"['indietronica', 'modern alternative rock', 'modern rock', 'rock']",0.71,0.0956,127.975,0.0292,0.145,0.115,4,0.733,5,239600,-5.849,0.965,0
See You Again (feat. Charlie Puth),Wiz Khalifa,2015,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.481,0.0649,80.025,0.0815,0.369,1.03e-06,4,0.689,10,229526,-7.503,0.283,1
I'm Not The Only One,Sam Smith,2014,"['pop', 'uk pop']",0.496,0.0772,80.994,0.0453,0.554,2.65e-05,4,0.453,5,239317,-5.785,0.501,1
Seven (feat. Latto) (Explicit Ver.),Jung Kook,2023,['k-pop'],0.831,0.0797,124.987,0.044,0.312,0.0,4,0.79,11,183551,-4.185,0.872,1
I'm Yours,Jason Mraz,2008,"['acoustic pop', 'dance pop', 'neo mellow', 'pop']",0.444,0.0973,150.96,0.0417,0.559,0.0,4,0.703,11,242947,-9.331,0.712,1
Africa,TOTO,1982,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",0.373,0.0481,92.718,0.0323,0.257,8.01e-05,4,0.671,9,295893,-18.064,0.732,1
Despacito - Remix,Luis Fonsi,2017,"['latin pop', 'puerto rican pop']",0.816,0.0967,178.085,0.167,0.228,0.0,4,0.653,2,228827,-4.353,0.816,1
Cheap Thrills,Sia,2016,['pop'],0.698,0.0907,89.976,0.105,0.0472,0.00143,4,0.628,6,211667,-5.608,0.732,0
Attention,Charlie Puth,2018,"['pop', 'viral pop']",0.613,0.134,100.066,0.0542,0.109,2.33e-05,4,0.775,3,208787,-4.586,0.797,0
Iris,The Goo Goo Dolls,1998,"['neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",0.715,0.0942,155.925,0.0362,0.00125,7.97e-06,3,0.315,11,289533,-8.072,0.497,0
See You Again (feat. Kali Uchis),"Tyler, The Creator",2017,"['hip hop', 'rap']",0.559,0.109,78.558,0.0959,0.371,7.49e-06,4,0.558,6,180387,-9.222,0.62,1
I Like Me Better,Lauv,2018,['pop'],0.505,0.104,91.97,0.253,0.535,2.55e-06,4,0.752,9,197437,-7.621,0.419,1
Rolling in the Deep,Adele,2011,"['british soul', 'pop', 'pop soul', 'uk pop']",0.756,0.0527,104.945,0.0294,0.131,0.0,4,0.729,8,228293,-5.119,0.522,1
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,2018,['pop'],0.541,0.13,124.939,0.0658,0.566,0.0,4,0.779,0,235545,-6.824,0.447,1
Despacito,Luis Fonsi,2019,"['latin pop', 'puerto rican pop']",0.797,0.067,177.928,0.153,0.198,0.0,4,0.655,2,229360,-4.787,0.839,1
Sugar,Maroon 5,2014,['pop'],0.788,0.0863,120.076,0.0334,0.0591,0.0,4,0.748,1,235493,-7.055,0.884,1
ROCKSTAR (feat. Roddy Ricch),DaBaby,2020,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",0.69,0.101,89.977,0.164,0.247,0.0,4,0.746,11,181733,-7.956,0.497,1
Youngblood,5 Seconds of Summer,2018,"['boy band', 'pop']",0.854,0.124,120.276,0.463,0.0169,0.0,4,0.597,7,203418,-5.114,0.152,0
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2016,"['dance pop', 'pop']",0.832,0.0968,113.035,0.0682,0.0106,0.0,4,0.669,0,237547,-5.721,0.7,1
Blank Space,Taylor Swift,2014,['pop'],0.678,0.13,96.006,0.0644,0.085,1.64e-06,4,0.753,5,231827,-5.421,0.583,1
Heathens,Twenty One Pilots,2016,"['modern rock', 'pop', 'pov: indie', 'rock']",0.396,0.105,90.024,0.0286,0.0841,3.58e-05,4,0.732,4,195920,-9.348,0.548,0
Numb,Linkin Park,2003,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",0.87,0.484,110.072,0.0421,0.00353,0.0,4,0.488,6,187520,-4.185,0.211,0
when the party's over,Billie Eilish,2019,"['art pop', 'pop']",0.111,0.0897,82.642,0.0972,0.978,3.97e-05,4,0.367,4,196077,-14.084,0.198,1
La Bachata,Manuel Turizo,2022,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",0.679,0.218,124.98,0.0364,0.583,1.98e-06,4,0.835,7,162638,-5.329,0.85,0
Radioactive,Imagine Dragons,2012,"['modern rock', 'pop', 'rock']",0.784,0.668,136.239,0.0625,0.0999,0.000108,4,0.448,9,186813,-3.686,0.237,1
I Fall Apart,Post Malone,2016,"['dfw rap', 'melodic rap', 'pop', 'rap']",0.538,0.196,143.946,0.0382,0.0689,0.0,4,0.556,8,223347,-5.408,0.291,0
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,2016,"['pop', 'viral pop']",0.563,0.179,100.017,0.134,0.621,0.0,4,0.728,1,217707,-8.053,0.352,0
Eastside (with Halsey & Khalid),benny blanco,2018,['pop'],0.686,0.2,89.949,0.243,0.549,0.0,4,0.632,6,170770,-7.665,0.329,0
Old Town Road - Remix,Lil Nas X,2019,['lgbtq+ hip hop'],0.619,0.113,136.041,0.102,0.0533,0.0,4,0.878,6,157067,-5.56,0.639,1
Cheerleader - Felix Jaehn Remix Radio Edit,OMI,2015,['reggae fusion'],0.68,0.138,118.026,0.0305,0.141,1.2e-05,4,0.78,4,180560,-6.081,0.594,1
Ride,Twenty One Pilots,2015,"['modern rock', 'pop', 'pov: indie', 'rock']",0.713,0.113,74.989,0.0393,0.00835,0.0,4,0.645,6,214507,-5.355,0.566,1
Can't Feel My Face,The Weeknd,2015,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.77,0.103,107.951,0.0482,0.124,0.0,4,0.702,9,213520,-5.416,0.593,0
What Do You Mean?,Justin Bieber,2015,"['canadian pop', 'pop']",0.567,0.0811,125.02,0.0956,0.59,0.00142,4,0.845,5,205680,-8.118,0.793,0
Sweet but Psycho,Ava Max,2020,['pop'],0.706,0.166,133.002,0.0473,0.0684,0.0,4,0.72,1,187436,-4.719,0.62,1
Chandelier,Sia,2015,['pop'],0.787,0.0685,117.089,0.0499,0.0197,6.07e-05,5,0.399,1,216120,-2.88,0.572,1
Shut Up and Dance,WALK THE MOON,2014,"['dance rock', 'modern alternative rock', 'modern rock', 'neo mellow', 'pop rock']",0.866,0.257,128.038,0.0619,0.00701,0.0,4,0.578,1,199080,-3.804,0.619,1
I Like It,Cardi B,2018,"['pop', 'rap']",0.726,0.372,136.048,0.129,0.099,0.0,4,0.816,5,253390,-3.998,0.65,0
Wow.,Post Malone,2019,"['dfw rap', 'melodic rap', 'pop', 'rap']",0.538,0.103,99.952,0.212,0.137,1.88e-06,4,0.829,11,149547,-7.359,0.389,0
Be Alright,Dean Lewis,2019,"['australian pop', 'pop']",0.537,0.0802,126.421,0.034,0.705,0.0,4,0.551,11,196493,-7.595,0.493,1
